bank,branch,date,day,arrival_time,service_type,service_start_time,service_end_time,wait_time_min,service_duration_min,queue_length
Sonali Bank,"Sonali Bank, Dhaka Branch",2025-08-04,Monday,09:06:00,Debit Card Reissue,09:13:00,09:23:16.200000,7,10.27,5
Sonali Bank,"Sonali Bank, Dhaka Branch",2025-08-04,Monday,12:08:00,Cheque Deposit,12:14:00,12:20:52.800000,6,6.88,13
Sonali Bank,"Sonali Bank, Dhaka Branch",2025-08-04,Monday,10:17:00,Cheque Deposit,10:23:00,10:29:45,6,6.75,7
Sonali Bank,"Sonali Bank, Dhaka Branch",2025-08-04,Monday,10:55:00,Cheque Deposit,11:02:00,11:08:13.200000,7,6.22,6
Sonali Bank,"Sonali Bank, Dhaka Branch",2025-08-04,Monday,11:55:00,Loan Repayment,12:06:00,12:12:34.200000,11,6.57,4
Sonali Bank,"Sonali Bank, Dhaka Branch",2025-08-04,Monday,10:19:00,Cash Deposit,10:21:00,10:24:58.200000,2,3.97,9
Sonali Bank,"Sonali Bank, Dhaka Branch",2025-08-04,Monday,12:51:00,Cash Deposit,12:55:00,12:59:40.800000,4,4.68,11
Sonali Bank,"Sonali Bank, Dhaka Branch",2025-08-04,Monday,16:54:00,Inward Remittance,16:59:00,17:12:09.600000,5,13.16,5
Sonali Bank,"Sonali Bank, Dhaka Branch",2025-08-04,Monday,11:04:00,Cash Deposit,11:07:00,11:10:28.200000,3,3.47,15
Sonali Bank,"Sonali Bank, Dhaka Branch",2025-08-04,Monday,15:41:00,Cash Deposit,15:47:00,15:50:46.800000,6,3.78,7
Sonali Bank,"Sonali Bank, Dhaka Branch",2025-08-04,Monday,13:42:00,Locker Access,13:46:00,13:57:33.600000,4,11.56,6
Sonali Bank,"Sonali Bank, Dhaka Branch",2025-08-04,Monday,11:11:00,Inward Remittance,11:14:00,11:29:24,3,15.4,14
Sonali Bank,"Sonali Bank, Dhaka Branch",2025-08-04,Monday,10:00:00,Cash Deposit,10:07:00,10:11:30.600000,7,4.51,7
Sonali Bank,"Sonali Bank, Dhaka Branch",2025-08-04,Monday,15:49:00,Inward Remittance,15:56:00,16:10:21.600000,7,14.36,10
Sonali Bank,"Sonali Bank, Dhaka Branch",2025-08-04,Monday,12:44:00,Cash Withdrawal,12:46:00,12:48:59.400000,2,2.99,3
Sonali Bank,"Sonali Bank, Dhaka Branch",2025-08-04,Monday,15:59:00,Locker Access,16:07:00,16:14:24,8,7.4,15
Sonali Bank,"Sonali Bank, Dhaka Branch",2025-08-04,Monday,13:01:00,Cash Withdrawal,13:03:00,13:05:28.200000,2,2.47,9
Sonali Bank,"Sonali Bank, Dhaka Branch",2025-08-04,Monday,09:17:00,Locker Access,09:21:00,09:31:32.400000,4,10.54,6
Sonali Bank,"Sonali Bank, Dhaka Branch",2025-08-04,Monday,10:26:00,Locker Access,10:35:00,10:46:10.200000,9,11.17,10
Sonali Bank,"Sonali Bank, Dhaka Branch",2025-08-04,Monday,10:12:00,Cash Deposit,10:13:00,10:17:46.800000,1,4.78,4
Sonali Bank,"Sonali Bank, Dhaka Branch",2025-08-04,Monday,10:38:00,New Account Opening,10:46:00,11:17:48,8,31.8,2
Sonali Bank,"Sonali Bank, Dhaka Branch",2025-08-04,Monday,12:16:00,Debit Card Reissue,12:21:00,12:33:07.800000,5,12.13,5
Sonali Bank,"Sonali Bank, Dhaka Branch",2025-08-04,Monday,16:15:00,Debit Card Reissue,16:20:00,16:29:27.600000,5,9.46,4
Sonali Bank,"Sonali Bank, Dhaka Branch",2025-08-04,Monday,10:54:00,Cash Withdrawal,11:00:00,11:02:52.800000,6,2.88,10
Sonali Bank,"Sonali Bank, Dhaka Branch",2025-08-04,Monday,12:04:00,Cash Deposit,12:08:00,12:12:13.800000,4,4.23,10
Sonali Bank,"Sonali Bank, Dhaka Branch",2025-08-04,Monday,15:03:00,Loan Repayment,15:10:00,15:17:33.600000,7,7.56,5
Sonali Bank,"Sonali Bank, Barishal Branch",2025-08-04,Monday,09:47:00,Loan Repayment,09:52:00,09:57:43.800000,5,5.73,3
Sonali Bank,"Sonali Bank, Barishal Branch",2025-08-04,Monday,10:57:00,FD Opening,11:05:00,11:15:32.400000,8,10.54,15
Sonali Bank,"Sonali Bank, Barishal Branch",2025-08-04,Monday,12:23:00,Locker Access,12:28:00,12:39:18.600000,5,11.31,14
Sonali Bank,"Sonali Bank, Barishal Branch",2025-08-04,Monday,14:14:00,Inward Remittance,14:19:00,14:34:18,5,15.3,9
Sonali Bank,"Sonali Bank, Barishal Branch",2025-08-04,Monday,16:28:00,Loan Repayment,16:33:00,16:41:43.800000,5,8.73,10
Sonali Bank,"Sonali Bank, Barishal Branch",2025-08-04,Monday,13:58:00,FD Opening,14:01:00,14:18:56.400000,3,17.94,10
Sonali Bank,"Sonali Bank, Barishal Branch",2025-08-04,Monday,11:02:00,New Account Opening,11:10:00,11:43:05.400000,8,33.09,10
Sonali Bank,"Sonali Bank, Barishal Branch",2025-08-04,Monday,14:31:00,Cash Withdrawal,14:32:00,14:34:26.400000,1,2.44,9
Sonali Bank,"Sonali Bank, Barishal Branch",2025-08-04,Monday,12:55:00,Cash Deposit,12:59:00,13:02:42.600000,4,3.71,1
Sonali Bank,"Sonali Bank, Barishal Branch",2025-08-04,Monday,09:01:00,Debit Card Reissue,09:06:00,09:19:36,5,13.6,11
Sonali Bank,"Sonali Bank, Barishal Branch",2025-08-04,Monday,15:15:00,FD Opening,15:21:00,15:31:51,6,10.85,5
Sonali Bank,"Sonali Bank, Barishal Branch",2025-08-04,Monday,09:02:00,Cash Withdrawal,09:10:00,09:13:52.200000,8,3.87,2
Sonali Bank,"Sonali Bank, Barishal Branch",2025-08-04,Monday,13:00:00,New Account Opening,13:05:00,13:36:16.800000,5,31.28,12
Sonali Bank,"Sonali Bank, Barishal Branch",2025-08-04,Monday,09:53:00,FD Opening,09:58:00,10:15:28.200000,5,17.47,1
Sonali Bank,"Sonali Bank, Barishal Branch",2025-08-04,Monday,15:57:00,New Account Opening,16:01:00,16:36:08.400000,4,35.14,13
Sonali Bank,"Sonali Bank, Barishal Branch",2025-08-04,Monday,10:38:00,Cash Deposit,10:46:00,10:50:00.600000,8,4.01,8
Sonali Bank,"Sonali Bank, Barishal Branch",2025-08-04,Monday,12:29:00,Debit Card Reissue,12:33:00,12:44:01.200000,4,11.02,3
Sonali Bank,"Sonali Bank, Barishal Branch",2025-08-04,Monday,14:23:00,Cheque Deposit,14:26:00,14:32:10.800000,3,6.18,12
Sonali Bank,"Sonali Bank, Barishal Branch",2025-08-04,Monday,10:29:00,Inward Remittance,10:34:00,10:49:59.400000,5,15.99,13
Sonali Bank,"Sonali Bank, Barishal Branch",2025-08-04,Monday,10:28:00,Cash Deposit,10:31:00,10:34:38.400000,3,3.64,1
Sonali Bank,"Sonali Bank, Barishal Branch",2025-08-04,Monday,15:01:00,New Account Opening,15:07:00,15:40:40.200000,6,33.67,12
Sonali Bank,"Sonali Bank, Barishal Branch",2025-08-04,Monday,13:05:00,Inward Remittance,13:09:00,13:22:30.600000,4,13.51,1
Sonali Bank,"Sonali Bank, Barishal Branch",2025-08-04,Monday,10:59:00,New Account Opening,11:09:00,11:48:26.400000,10,39.44,6
Sonali Bank,"Sonali Bank, Barishal Branch",2025-08-04,Monday,11:11:00,New Account Opening,11:15:00,11:48:55.800000,4,33.93,14
Sonali Bank,"Sonali Bank, Barishal Branch",2025-08-04,Monday,10:29:00,Inward Remittance,10:37:00,10:50:07.800000,8,13.13,1
Sonali Bank,"Sonali Bank, Barishal Branch",2025-08-04,Monday,15:04:00,FD Opening,15:10:00,15:28:04.800000,6,18.08,12
Sonali Bank,"Sonali Bank, Barishal Branch",2025-08-04,Monday,11:12:00,Cash Withdrawal,11:19:00,11:21:22.200000,7,2.37,5
Sonali Bank,"Sonali Bank, Barishal Branch",2025-08-04,Monday,13:16:00,Cash Deposit,13:18:00,13:22:12,2,4.2,13
Sonali Bank,"Sonali Bank, Barishal Branch",2025-08-04,Monday,16:53:00,Locker Access,17:02:00,17:09:49.200000,9,7.82,10
Sonali Bank,"Sonali Bank, Barishal Branch",2025-08-04,Monday,15:37:00,FD Opening,15:40:00,15:55:00.600000,3,15.01,6
Sonali Bank,"Sonali Bank, Barishal Branch",2025-08-04,Monday,11:04:00,Locker Access,11:07:00,11:16:20.400000,3,9.34,5
Sonali Bank,"Sonali Bank, Barishal Branch",2025-08-04,Monday,13:06:00,Cash Deposit,13:12:00,13:16:45,6,4.75,15
Sonali Bank,"Sonali Bank, Barishal Branch",2025-08-04,Monday,09:43:00,Loan Repayment,09:44:00,09:53:18.600000,1,9.31,6
Sonali Bank,"Sonali Bank, Barishal Branch",2025-08-04,Monday,14:06:00,Inward Remittance,14:12:00,14:28:28.800000,6,16.48,10
Sonali Bank,"Sonali Bank, Barishal Branch",2025-08-04,Monday,12:00:00,FD Opening,12:08:00,12:21:13.200000,8,13.22,15
Sonali Bank,"Sonali Bank, Barishal Branch",2025-08-04,Monday,10:12:00,Cheque Deposit,10:15:00,10:21:28.800000,3,6.48,4
Sonali Bank,"Sonali Bank, Barishal Branch",2025-08-04,Monday,14:28:00,Inward Remittance,14:33:00,14:49:46.800000,5,16.78,6
Sonali Bank,"Sonali Bank, Barishal Branch",2025-08-04,Monday,10:59:00,FD Opening,11:06:00,11:21:22.200000,7,15.37,14
Sonali Bank,"Sonali Bank, Barishal Branch",2025-08-04,Monday,15:08:00,Inward Remittance,15:11:00,15:22:58.800000,3,11.98,11
Sonali Bank,"Sonali Bank, Barishal Branch",2025-08-04,Monday,09:36:00,Debit Card Reissue,09:41:00,09:52:02.400000,5,11.04,5
Sonali Bank,"Sonali Bank, Barishal Branch",2025-08-04,Monday,14:28:00,FD Opening,14:34:00,14:50:00.600000,6,16.01,14
Sonali Bank,"Sonali Bank, Barishal Branch",2025-08-04,Monday,11:59:00,Cash Withdrawal,12:07:00,12:09:57.600000,8,2.96,14
Sonali Bank,"Sonali Bank, Barishal Branch",2025-08-04,Monday,16:54:00,Cash Withdrawal,16:58:00,17:00:19.800000,4,2.33,6
Sonali Bank,"Sonali Bank, Barishal Branch",2025-08-04,Monday,11:16:00,Cash Deposit,11:17:00,11:20:38.400000,1,3.64,12
Sonali Bank,"Sonali Bank, Barishal Branch",2025-08-04,Monday,13:18:00,Inward Remittance,13:24:00,13:40:18,6,16.3,9
Sonali Bank,"Sonali Bank, Barishal Branch",2025-08-04,Monday,11:58:00,FD Opening,12:00:00,12:11:01.800000,2,11.03,10
Sonali Bank,"Sonali Bank, Barishal Branch",2025-08-04,Monday,11:58:00,Loan Repayment,12:04:00,12:13:08.400000,6,9.14,12
Sonali Bank,"Sonali Bank, Barishal Branch",2025-08-04,Monday,10:31:00,Locker Access,10:36:00,10:45:00,5,9.0,7
Sonali Bank,"Sonali Bank, Barishal Branch",2025-08-04,Monday,09:42:00,Locker Access,09:47:00,09:57:20.400000,5,10.34,1
Sonali Bank,"Sonali Bank, Barishal Branch",2025-08-04,Monday,12:37:00,Inward Remittance,12:43:00,12:56:23.400000,6,13.39,4
Sonali Bank,"Sonali Bank, Sylhet Branch",2025-08-04,Monday,10:00:00,Debit Card Reissue,10:04:00,10:17:12,4,13.2,3
Sonali Bank,"Sonali Bank, Sylhet Branch",2025-08-04,Monday,13:43:00,Cash Deposit,13:48:00,13:52:12.600000,5,4.21,15
Sonali Bank,"Sonali Bank, Sylhet Branch",2025-08-04,Monday,15:45:00,Debit Card Reissue,15:46:00,15:58:15,1,12.25,12
Sonali Bank,"Sonali Bank, Sylhet Branch",2025-08-04,Monday,10:37:00,Cash Deposit,10:42:00,10:46:01.200000,5,4.02,10
Sonali Bank,"Sonali Bank, Sylhet Branch",2025-08-04,Monday,11:47:00,Inward Remittance,11:55:00,12:10:08.400000,8,15.14,1
Sonali Bank,"Sonali Bank, Sylhet Branch",2025-08-04,Monday,13:53:00,New Account Opening,13:56:00,14:24:49.800000,3,28.83,4
Sonali Bank,"Sonali Bank, Sylhet Branch",2025-08-04,Monday,14:37:00,FD Opening,14:43:00,15:00:49.800000,6,17.83,13
Sonali Bank,"Sonali Bank, Sylhet Branch",2025-08-04,Monday,09:35:00,Cash Withdrawal,09:44:00,09:47:13.800000,9,3.23,11
Sonali Bank,"Sonali Bank, Sylhet Branch",2025-08-04,Monday,10:26:00,Loan Repayment,10:28:00,10:36:43.200000,2,8.72,1
Sonali Bank,"Sonali Bank, Sylhet Branch",2025-08-04,Monday,09:21:00,Locker Access,09:25:00,09:35:07.800000,4,10.13,5
Sonali Bank,"Sonali Bank, Sylhet Branch",2025-08-04,Monday,16:40:00,Loan Repayment,16:42:00,16:48:54.600000,2,6.91,3
Sonali Bank,"Sonali Bank, Sylhet Branch",2025-08-04,Monday,16:33:00,Loan Repayment,16:34:00,16:41:34.800000,1,7.58,10
Sonali Bank,"Sonali Bank, Sylhet Branch",2025-08-04,Monday,16:42:00,Inward Remittance,16:47:00,17:02:28.200000,5,15.47,9
Sonali Bank,"Sonali Bank, Sylhet Branch",2025-08-04,Monday,09:03:00,Locker Access,09:06:00,09:17:04.200000,3,11.07,9
Sonali Bank,"Sonali Bank, Sylhet Branch",2025-08-04,Monday,10:53:00,Cash Withdrawal,10:57:00,10:59:51,4,2.85,4
Sonali Bank,"Sonali Bank, Sylhet Branch",2025-08-04,Monday,10:25:00,New Account Opening,10:30:00,11:02:11.400000,5,32.19,1
Sonali Bank,"Sonali Bank, Sylhet Branch",2025-08-04,Monday,13:48:00,Cash Withdrawal,13:52:00,13:55:10.200000,4,3.17,13
Sonali Bank,"Sonali Bank, Sylhet Branch",2025-08-04,Monday,10:52:00,Cheque Deposit,10:54:00,10:59:59.400000,2,5.99,14
Sonali Bank,"Sonali Bank, Sylhet Branch",2025-08-04,Monday,15:45:00,Cash Deposit,15:48:00,15:51:57.600000,3,3.96,7
Sonali Bank,"Sonali Bank, Sylhet Branch",2025-08-04,Monday,16:41:00,Cheque Deposit,16:51:00,16:56:51,10,5.85,15
Sonali Bank,"Sonali Bank, Sylhet Branch",2025-08-04,Monday,12:58:00,Cash Deposit,13:06:00,13:10:28.200000,8,4.47,15
Sonali Bank,"Sonali Bank, Sylhet Branch",2025-08-04,Monday,11:15:00,New Account Opening,11:17:00,11:55:42,2,38.7,13
Sonali Bank,"Sonali Bank, Sylhet Branch",2025-08-04,Monday,09:59:00,Cash Withdrawal,10:13:00,10:16:13.800000,14,3.23,9
Sonali Bank,"Sonali Bank, Sylhet Branch",2025-08-04,Monday,15:50:00,Loan Repayment,15:55:00,16:04:33.600000,5,9.56,13
Sonali Bank,"Sonali Bank, Sylhet Branch",2025-08-04,Monday,09:52:00,New Account Opening,10:00:00,10:34:45,8,34.75,15
Sonali Bank,"Sonali Bank, Sylhet Branch",2025-08-04,Monday,10:40:00,Cheque Deposit,10:46:00,10:51:25.200000,6,5.42,11
Sonali Bank,"Sonali Bank, Sylhet Branch",2025-08-04,Monday,16:30:00,New Account Opening,16:35:00,17:08:58.800000,5,33.98,12
Sonali Bank,"Sonali Bank, Sylhet Branch",2025-08-04,Monday,11:40:00,Inward Remittance,11:45:00,12:03:08.400000,5,18.14,9
Sonali Bank,"Sonali Bank, Sylhet Branch",2025-08-04,Monday,11:30:00,Debit Card Reissue,11:32:00,11:41:52.200000,2,9.87,10
Sonali Bank,"Sonali Bank, Sylhet Branch",2025-08-04,Monday,15:39:00,New Account Opening,15:45:00,16:19:12,6,34.2,5
Sonali Bank,"Sonali Bank, Sylhet Branch",2025-08-04,Monday,14:47:00,Cheque Deposit,14:51:00,14:57:02.400000,4,6.04,14
Sonali Bank,"Sonali Bank, Sylhet Branch",2025-08-04,Monday,15:13:00,Cash Deposit,15:24:00,15:27:46.200000,11,3.77,5
Sonali Bank,"Sonali Bank, Sylhet Branch",2025-08-04,Monday,14:00:00,Loan Repayment,14:06:00,14:14:13.200000,6,8.22,2
Sonali Bank,"Sonali Bank, Sylhet Branch",2025-08-04,Monday,11:49:00,New Account Opening,11:53:00,12:22:55.200000,4,29.92,9
Sonali Bank,"Sonali Bank, Sylhet Branch",2025-08-04,Monday,10:14:00,Cash Deposit,10:18:00,10:22:25.200000,4,4.42,8
Sonali Bank,"Sonali Bank, Sylhet Branch",2025-08-04,Monday,14:22:00,Loan Repayment,14:32:00,14:37:50.400000,10,5.84,4
Sonali Bank,"Sonali Bank, Sylhet Branch",2025-08-04,Monday,09:42:00,Cash Withdrawal,09:49:00,09:51:24,7,2.4,15
Sonali Bank,"Sonali Bank, Sylhet Branch",2025-08-04,Monday,09:28:00,Cash Withdrawal,09:34:00,09:36:36,6,2.6,9
Sonali Bank,"Sonali Bank, Sylhet Branch",2025-08-04,Monday,12:44:00,FD Opening,12:48:00,12:59:16.800000,4,11.28,7
Sonali Bank,"Sonali Bank, Sylhet Branch",2025-08-04,Monday,16:30:00,Cash Withdrawal,16:38:00,16:41:16.200000,8,3.27,1
Sonali Bank,"Sonali Bank, Sylhet Branch",2025-08-04,Monday,11:22:00,Cheque Deposit,11:28:00,11:33:33.600000,6,5.56,11
Sonali Bank,"Sonali Bank, Sylhet Branch",2025-08-04,Monday,13:27:00,Loan Repayment,13:35:00,13:41:24.600000,8,6.41,2
Sonali Bank,"Sonali Bank, Sylhet Branch",2025-08-04,Monday,13:53:00,New Account Opening,13:57:00,14:28:14.400000,4,31.24,7
Sonali Bank,"Sonali Bank, Sylhet Branch",2025-08-04,Monday,15:17:00,Cash Deposit,15:23:00,15:26:57.600000,6,3.96,13
Sonali Bank,"Sonali Bank, Sylhet Branch",2025-08-04,Monday,12:21:00,Debit Card Reissue,12:28:00,12:37:03,7,9.05,5
Sonali Bank,"Sonali Bank, Sylhet Branch",2025-08-04,Monday,09:13:00,Locker Access,09:20:00,09:31:16.200000,7,11.27,12
Sonali Bank,"Sonali Bank, Sylhet Branch",2025-08-04,Monday,09:35:00,FD Opening,09:40:00,09:58:23.400000,5,18.39,2
Sonali Bank,"Sonali Bank, Sylhet Branch",2025-08-04,Monday,10:07:00,New Account Opening,10:08:00,10:43:31.200000,1,35.52,1
Sonali Bank,"Sonali Bank, Sylhet Branch",2025-08-04,Monday,14:29:00,Cash Deposit,14:35:00,14:39:22.200000,6,4.37,11
Sonali Bank,"Sonali Bank, Sylhet Branch",2025-08-04,Monday,11:07:00,Debit Card Reissue,11:13:00,11:23:10.200000,6,10.17,12
Janata Bank,"Janata Bank, Barishal Branch",2025-08-04,Monday,12:31:00,New Account Opening,12:38:00,13:12:52.200000,7,34.87,8
Janata Bank,"Janata Bank, Barishal Branch",2025-08-04,Monday,09:42:00,Inward Remittance,09:47:00,10:02:13.800000,5,15.23,8
Janata Bank,"Janata Bank, Barishal Branch",2025-08-04,Monday,12:17:00,Loan Repayment,12:21:00,12:29:30,4,8.5,10
Janata Bank,"Janata Bank, Barishal Branch",2025-08-04,Monday,14:14:00,FD Opening,14:18:00,14:29:49.200000,4,11.82,15
Janata Bank,"Janata Bank, Barishal Branch",2025-08-04,Monday,10:57:00,Cheque Deposit,11:03:00,11:08:24.600000,6,5.41,2
Janata Bank,"Janata Bank, Barishal Branch",2025-08-04,Monday,09:42:00,New Account Opening,09:49:00,10:18:33,7,29.55,2
Janata Bank,"Janata Bank, Barishal Branch",2025-08-04,Monday,09:27:00,Cheque Deposit,09:33:00,09:38:41.400000,6,5.69,14
Janata Bank,"Janata Bank, Barishal Branch",2025-08-04,Monday,15:26:00,Cash Withdrawal,15:34:00,15:36:52.200000,8,2.87,15
Janata Bank,"Janata Bank, Barishal Branch",2025-08-04,Monday,11:12:00,Locker Access,11:13:00,11:22:13.200000,1,9.22,5
Janata Bank,"Janata Bank, Barishal Branch",2025-08-04,Monday,15:10:00,Cash Deposit,15:16:00,15:20:18,6,4.3,9
Janata Bank,"Janata Bank, Barishal Branch",2025-08-04,Monday,10:25:00,Debit Card Reissue,10:26:00,10:36:44.400000,1,10.74,11
Janata Bank,"Janata Bank, Barishal Branch",2025-08-04,Monday,16:42:00,Cash Deposit,16:46:00,16:49:39,4,3.65,9
Janata Bank,"Janata Bank, Barishal Branch",2025-08-04,Monday,10:20:00,Cheque Deposit,10:27:00,10:32:36.600000,7,5.61,8
Janata Bank,"Janata Bank, Barishal Branch",2025-08-04,Monday,15:22:00,Cash Deposit,15:28:00,15:32:03.600000,6,4.06,8
Janata Bank,"Janata Bank, Barishal Branch",2025-08-04,Monday,15:03:00,Inward Remittance,15:08:00,15:24:40.200000,5,16.67,4
Janata Bank,"Janata Bank, Barishal Branch",2025-08-04,Monday,11:40:00,Debit Card Reissue,11:44:00,11:54:22.800000,4,10.38,6
Janata Bank,"Janata Bank, Barishal Branch",2025-08-04,Monday,16:51:00,Cheque Deposit,16:54:00,16:59:30,3,5.5,15
Janata Bank,"Janata Bank, Barishal Branch",2025-08-04,Monday,11:40:00,Debit Card Reissue,11:43:00,11:55:58.800000,3,12.98,9
Janata Bank,"Janata Bank, Barishal Branch",2025-08-04,Monday,16:39:00,Cash Withdrawal,16:43:00,16:46:46.800000,4,3.78,5
Janata Bank,"Janata Bank, Barishal Branch",2025-08-04,Monday,10:10:00,Cheque Deposit,10:15:00,10:21:25.800000,5,6.43,1
Janata Bank,"Janata Bank, Barishal Branch",2025-08-04,Monday,11:50:00,Locker Access,11:56:00,12:08:33.600000,6,12.56,1
Janata Bank,"Janata Bank, Barishal Branch",2025-08-04,Monday,12:55:00,Cash Deposit,13:01:00,13:04:57,6,3.95,1
Janata Bank,"Janata Bank, Barishal Branch",2025-08-04,Monday,09:59:00,Cash Withdrawal,10:03:00,10:05:53.400000,4,2.89,5
Janata Bank,"Janata Bank, Barishal Branch",2025-08-04,Monday,13:05:00,FD Opening,13:09:00,13:23:48,4,14.8,5
Janata Bank,"Janata Bank, Barishal Branch",2025-08-04,Monday,16:28:00,Cheque Deposit,16:35:00,16:41:07.800000,7,6.13,3
Janata Bank,"Janata Bank, Barishal Branch",2025-08-04,Monday,09:48:00,Locker Access,09:50:00,09:59:15.600000,2,9.26,9
Janata Bank,"Janata Bank, Barishal Branch",2025-08-04,Monday,09:57:00,Inward Remittance,10:02:00,10:17:04.800000,5,15.08,7
Janata Bank,"Janata Bank, Barishal Branch",2025-08-04,Monday,10:20:00,Cheque Deposit,10:27:00,10:32:58.800000,7,5.98,10
Janata Bank,"Janata Bank, Barishal Branch",2025-08-04,Monday,16:27:00,Cash Withdrawal,16:34:00,16:37:02.400000,7,3.04,10
Janata Bank,"Janata Bank, Barishal Branch",2025-08-04,Monday,09:44:00,Debit Card Reissue,09:52:00,10:01:10.800000,8,9.18,12
Janata Bank,"Janata Bank, Barishal Branch",2025-08-04,Monday,11:23:00,Cheque Deposit,11:26:00,11:32:13.200000,3,6.22,5
Janata Bank,"Janata Bank, Barishal Branch",2025-08-04,Monday,11:36:00,Cash Withdrawal,11:38:00,11:40:36,2,2.6,12
Janata Bank,"Janata Bank, Barishal Branch",2025-08-04,Monday,11:44:00,Debit Card Reissue,11:47:00,11:57:15.600000,3,10.26,8
Janata Bank,"Janata Bank, Barishal Branch",2025-08-04,Monday,13:30:00,Debit Card Reissue,13:33:00,13:45:49.200000,3,12.82,15
Janata Bank,"Janata Bank, Barishal Branch",2025-08-04,Monday,15:23:00,Cash Deposit,15:30:00,15:34:04.200000,7,4.07,6
Janata Bank,"Janata Bank, Barishal Branch",2025-08-04,Monday,12:48:00,Cash Deposit,12:52:00,12:55:42,4,3.7,1
Janata Bank,"Janata Bank, Barishal Branch",2025-08-04,Monday,13:39:00,FD Opening,13:46:00,13:58:09.600000,7,12.16,6
Janata Bank,"Janata Bank, Barishal Branch",2025-08-04,Monday,13:37:00,Inward Remittance,13:40:00,13:50:12.600000,3,10.21,14
Janata Bank,"Janata Bank, Barishal Branch",2025-08-04,Monday,16:54:00,Locker Access,16:59:00,17:07:43.800000,5,8.73,1
Janata Bank,"Janata Bank, Barishal Branch",2025-08-04,Monday,14:41:00,Cheque Deposit,14:45:00,14:50:43.800000,4,5.73,9
Janata Bank,"Janata Bank, Barishal Branch",2025-08-04,Monday,10:04:00,Cash Withdrawal,10:06:00,10:08:48.600000,2,2.81,9
